更新时间: 2026-04-26 04:24:24（北京时间）

更新时间,#genre#
2026-04-26 04:24:24,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

📺央视频道,#genre#
广东卫视,http://121.230.144.64:8000/rtp/239.49.8.13:9422$江苏电信
广东卫视,http://192.144.185.155:6000/rtp/225.1.8.49:8048$北京市电信
广东卫视,http://58.62.234.243:10000/rtp/239.77.0.84:5146$广东电信
广东卫视,http://58.62.234.243:10000/rtp/239.77.0.27:5146$广东电信
广东卫视,http://58.62.234.243:10000/rtp/239.77.0.65:5146$广东电信
广东卫视,http://58.62.234.243:10000/rtp/239.77.0.66:5146$广东电信
广东卫视,http://223.10.214.111:6000/rtp/239.1.1.49:8049$山西电信
广东卫视,http://171.8.84.159:8800/rtp/239.16.20.98:10980$河南电信
广西卫视,http://183.220.107.138:4022/rtp/239.11.0.48:5140$四川移动
广西卫视,http://121.230.144.64:8000/rtp/239.49.8.10:8000$江苏电信
广西卫视,http://58.62.234.243:10000/rtp/239.77.0.139:5146$广东电信
广西卫视,http://223.10.214.111:6000/rtp/239.1.1.40:8040$山西电信
广西卫视,http://171.8.84.159:8800/rtp/239.16.20.84:10840$河南电信
东南卫视,http://183.220.107.138:4022/rtp/239.11.0.41:5140$四川移动
东南卫视,http://121.230.144.64:8000/rtp/239.49.8.112:8000$江苏电信
东南卫视,http://192.144.185.155:6000/rtp/225.1.8.79:8148$北京市电信
东南卫视,http://58.62.234.243:10000/rtp/239.77.0.146:5146$广东电信
东南卫视,http://223.10.214.111:6000/rtp/239.1.1.33:8033$山西电信
东南卫视,http://171.8.84.159:8800/rtp/239.16.20.82:10820$河南电信
海南卫视,http://183.220.107.138:4022/rtp/239.10.0.119:5140$四川移动
海南卫视,http://183.220.107.138:4022/rtp/239.11.0.193:5140$四川移动
海南卫视,http://121.230.144.64:8000/rtp/239.49.8.83:8000$江苏电信
海南卫视,http://58.62.234.243:10000/rtp/239.253.43.35:5146$广东电信
海南卫视,http://223.10.214.111:6000/rtp/239.1.1.55:8055$山西电信
海南卫视,http://171.8.84.159:8800/rtp/239.16.20.97:10970$河南电信
河北卫视,http://183.220.107.138:4022/rtp/239.11.0.31:5140$四川移动
河北卫视,http://121.230.144.64:8000/rtp/239.49.8.114:8000$江苏电信
河北卫视,http://192.144.185.155:6000/rtp/225.1.8.76:8002$北京市电信
